Linux 5.11.0-36-generic (pwmoose-PowerEdge-T640) 	2021年09月25日 	_x86_64_	(40 CPU)

15时03分36秒 kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
15时07分17秒 261780972 260996368    923968      0.35     44132    631696   3695380      1.39    293388    706640       156
15时07分18秒 261781280 260996676    923684      0.35     44140    631696   3695380      1.39    293400    706628       156
15时07分19秒 261782152 260997540    922708      0.35     44140    631696   3695380      1.39    293384    706644       156
15时07分20秒 261782128 260997516    922708      0.35     44140    631696   3695380      1.39    293396    706632       152
15时07分21秒 261783808 260999196    921156      0.35     44140    631696   3695380      1.39    293388    706456       152
15时07分22秒 261783792 260999180    921188      0.35     44140    631696   3695380      1.39    293400    706628       152
15时07分23秒 261784100 260999488    920908      0.35     44148    631692   3695380      1.39    293396    706536       160
15时07分24秒 261785088 261000476    919900      0.35     44148    631696   3695380      1.39    293396    706632       160
15时07分25秒 261785372 261000760    919616      0.35     44148    631696   3695380      1.39    293388    706456       160
15时07分26秒 261785804 261001192    919120      0.35     44148    631696   3695380      1.39    293400    706628       108
15时07分27秒 261786092 261001480    918800      0.35     44148    631696   3695380      1.39    293392    707036       108
15时07分28秒 261786172 261001560    918780      0.35     44156    631700   3695380      1.39    293400    706628       112
15时07分29秒 261787112 261002500    917976      0.35     44156    631700   3695380      1.39    293392    706948       112
15时07分30秒 261786568 261001956    918504      0.35     44156    631700   3695380      1.39    293396    706632         8
15时07分31秒 261786276 261001664    918796      0.35     44156    631692   3695380      1.39    293388    706596         8
15时07分32秒 261788056 261003444    916984      0.35     44156    631700   3695380      1.39    293392    706636         8
15时07分33秒 261788080 261003468    916940      0.35     44164    631692   3695380      1.39    293392    706456         8
15时07分34秒 261788496 261003884    916452      0.35     44164    631700   3695380      1.39    293400    706628        40
15时07分35秒 261789228 261004616    915688      0.35     44164    631700   3695380      1.39    293388    706640        40
15时07分36秒 261788640 261004028    916412      0.35     44164    631700   3695380      1.39    293400    706936        40
15时07分37秒 261789096 261004484    915920      0.35     44164    631700   3695380      1.39    293392    706636        40
15时07分38秒 261789648 261005036    915360      0.35     44172    631692   3695380      1.39    293396    706640        40
15时07分39秒 261789792 261005208    915392      0.35     44172    631700   3695380      1.39    293448    706640        40
15时07分40秒 261789720 261005136    915384      0.35     44172    631700   3695380      1.39    293452    706484        40
15时07分41秒 261789992 261005408    915072      0.35     44172    631696   3695380      1.39    293448    706632        40
15时07分42秒 261790600 261006016    914548      0.35     44172    631700   3695380      1.39    293456    706632        40
15时07分43秒 261790568 261005984    914508      0.35     44180    631700   3695380      1.39    293448    706460        40
15时07分44秒 261790292 261005708    914776      0.35     44180    631700   3695380      1.39    293456    706804        40
15时07分45秒 261789904 261005320    915092      0.35     44180    631716   3695380      1.39    293448    706692        40
15时07分46秒 261789628 261005044    915364      0.35     44180    631716   3695380      1.39    293472    706988        40
15时07分47秒 261791092 261006508    914276      0.35     44180    631692   3695380      1.39    293448    706552        40
15时07分48秒 261791464 261006880    913992      0.35     44188    631684   3695380      1.39    293448    706812        40
15时07分49秒 261791812 261007228    913720      0.35     44188    631700   3695380      1.39    293448    706948        40
15时07分50秒 261792080 261007496    913532      0.35     44188    631700   3695380      1.39    293448    706640        32
15时07分51秒 261792460 261007876    913160      0.35     44188    631700   3695380      1.39    293444    706640        36
15时07分52秒 261792436 261007852    913196      0.35     44188    631700   3695380      1.39    293452    706636        36
15时07分53秒 261792688 261008104    912936      0.35     44196    631700   3695380      1.39    293448    706640        44
15时07分54秒 261792568 261007984    913056      0.35     44196    631700   3695380      1.39    293456    706632        44
15时07分55秒 261792544 261007960    913048      0.35     44196    631700   3695380      1.39    293444    706644        44
15时07分56秒 261793008 261008424    912544      0.35     44196    631700   3695380      1.39    293456    706632        44
15时07分57秒 261792496 261007912    913024      0.35     44196    631700   3695380      1.39    293448    706640        44
15时07分58秒 261792960 261008376    912520      0.35     44204    631700   3695380      1.39    293448    706640        44
15时07分59秒 261793328 261008744    912128      0.35     44204    631700   3695380      1.39    293444    706644        44
15时08分00秒 261793884 261009300    911528      0.35     44204    631700   3695380      1.39    293452    706636        44
15时08分01秒 261793924 261009340    911520      0.35     44204    631704   3695380      1.39    293448    706640        48
15时08分02秒 261793916 261009332    911512      0.35     44204    631704   3695380      1.39    293456    706632        48
15时08分03秒 261793332 261008748    911996      0.35     44212    631704   3695380      1.39    293448    706640        48
15时08分04秒 261794484 261009900    910940      0.35     44212    631704   3695380      1.39    293456    706632        48
15时08分05秒 261794784 261010200    910668      0.35     44212    631704   3695380      1.39    293444    706644        48
15时08分06秒 261794224 261009640    911172      0.35     44212    631704   3695380      1.39    293452    706636         8
15时08分07秒 261794816 261010232    910616      0.35     44212    631704   3695380      1.39    293448    706484         8
15时08分08秒 261794476 261009892    910892      0.35     44220    631704   3695380      1.39    293456    706632         8
15时08分09秒 261794656 261010072    910624      0.35     44220    631704   3695380      1.39    293448    706640         8
15时08分10秒 261795056 261010472    910184      0.35     44220    631704   3695380      1.39    293452    706636         8
15时08分11秒 261794788 261010204    910420      0.35     44220    631704   3695380      1.39    293456    706632         8
15时08分12秒 261794756 261010172    910420      0.35     44220    631704   3695380      1.39    293456    706632         8
15时08分13秒 261795276 261010692    909876      0.35     44228    631696   3695380      1.39    293444    706924         8
15时08分14秒 261795212 261010660    909884      0.35     44228    631704   3695380      1.39    293512    706636         8
15时08分15秒 261795220 261010668    909832      0.35     44228    631704   3695380      1.39    293512    706636         8
15时08分16秒 261795228 261010676    909824      0.35     44228    631704   3695380      1.39    293512    706636         8
